link;title;year count;mean;median;mode; mode frequency;standard deviation;1st Quartile;3rd Quartile;IQR;minimum value;maximum value;filter min;filter max
https://plato.stanford.edu/entries/spinoza-attributes/;Spinoza's Theory of Attributes ;76;1991;1988;1984;10;21;1984;2009;25;1925;2018;1200;2020
https://plato.stanford.edu/entries/sport/;Philosophy of Sport ;516;2001;2007;2017;36;19;1988;2015;27;1870;2020;1200;2020
https://plato.stanford.edu/entries/square/;The Traditional Square of Opposition ;75;1935;1970;XXXX;XXXX;113;1933;1984;51;1400;2017;1200;2020
https://plato.stanford.edu/entries/sriharsa/;ÅrÄ«hará¹£a ;144;1980;1992;2007;10;56;1974;2007;33;1450;2018;1200;2020
https://plato.stanford.edu/entries/paradox-stpetersburg/;The St. Petersburg Paradox ;133;1955;1994;2016;10;96;1954;2013;59;1687;2020;1200;2020
https://plato.stanford.edu/entries/states-of-affairs/;States of Affairs ;207;1981;1989;1989;14;30;1978;2000;22;1879;2020;1200;2020
https://plato.stanford.edu/entries/statphys-Boltzmann/;Boltzmann's Work in Statistical Physics ;248;1911;1894;1877;27;71;1873;1970;97;1237;2016;1200;2020
https://plato.stanford.edu/entries/statphys-statmech/;Philosophy of Statistical Mechanics ;28;1987;1994;2002;4;20;1965;2002;37;1956;2016;1200;2020
https://plato.stanford.edu/entries/statistics/;Philosophy of Statistics ;467;1979;1992;2006;24;58;1967;2005;38;1228;2016;1200;2020
https://plato.stanford.edu/entries/stebbing/;Susan Stebbing ;106;1951;1935;1933;14;35;1932;1961;29;1885;2017;1200;2020
https://plato.stanford.edu/entries/stein/;Edith Stein ;671;1962;1950;1922;109;43;1922;2006;84;1843;2020;1200;2020
https://plato.stanford.edu/entries/stevenson/;Charles Leslie Stevenson ;290;1964;1951;1944;80;29;1944;1993;49;1861;2016;1200;2020
https://plato.stanford.edu/entries/max-stirner/;Max Stirner ;120;1913;1914;1914;6;84;1842;1996;154;1723;2019;1200;2020
https://plato.stanford.edu/entries/stoicism/;Stoicism ;142;1991;1999;1999;11;43;1990;2004;14;1547;2018;1200;2020
https://plato.stanford.edu/entries/strauss-leo/;Leo Strauss ;87;1971;1983;2006;9;41;1936;2006;70;1842;2016;1200;2020
https://plato.stanford.edu/entries/strawson/;Peter Frederick Strawson ;129;1978;1983;1998;14;53;1966;2003;37;1603;2019;1200;2020
https://plato.stanford.edu/entries/structural-realism/;Structural Realism ;589;1989;2003;2003;57;63;1994;2006;12;1350;2020;1200;2020
https://plato.stanford.edu/entries/stumpf/;Carl Stumpf ;452;1951;1939;2015;39;54;1906;2006;100;1830;2019;1200;2020
https://plato.stanford.edu/entries/johann-sturm/;Johann Sturm ;129;1807;1731;2020;9;168;1662;1995;333;1400;2020;1200;2020
https://plato.stanford.edu/entries/mathematical-style/;Mathematical Style ;226;1971;1993;2001;13;63;1955;2004;49;1635;2017;1200;2020
https://plato.stanford.edu/entries/suarez/;Francisco SuÃ¡rez ;214;1942;2000;2012;49;133;1974;2012;38;1540;2019;1200;2020
https://plato.stanford.edu/entries/substance/;Substance ;174;1992;1994;1994;14;18;1984;2006;22;1900;2020;1200;2020
https://plato.stanford.edu/entries/suhrawardi/;Suhrawardi ;445;1985;2001;2001;36;93;1992;2010;18;1268;2019;1200;2020
https://plato.stanford.edu/entries/suicide/;Suicide ;252;1970;1995;1996;18;95;1981;2002;21;1271;2017;1200;2020
https://plato.stanford.edu/entries/supererogation/;Supererogation ;183;1989;1992;1982;12;38;1975;2010;35;1571;2019;1200;2020
https://plato.stanford.edu/entries/supervenience/;Supervenience ;358;1990;1993;XXXX;XXXX;25;1984;2002;18;1674;2018;1200;2020
https://plato.stanford.edu/entries/supervenience-ethics/;Supervenience in Ethics ;245;2000;2009;2017;26;45;1997;2015;18;1391;2020;1200;2020
https://plato.stanford.edu/entries/paradox-suspense/;The Paradox of Suspense ;27;1994;1997;1990;4;17;1990;2004;14;1943;2016;1200;2020
